,topic,topic_url,username,repo_name,stars,repo_url
156,Angular,https://github.com//topics/angular,SheetJS,sheetjs,30700,https://github.com//SheetJS/sheetjs
157,Angular,https://github.com//topics/angular,angular,angular-cli,25500,https://github.com//angular/angular-cli
158,Angular,https://github.com//topics/angular,angular,components,22800,https://github.com//angular/components
159,Angular,https://github.com//topics/angular,NativeScript,NativeScript,21400,https://github.com//NativeScript/NativeScript
160,Angular,https://github.com//topics/angular,jhipster,generator-jhipster,19800,https://github.com//jhipster/generator-jhipster
161,Angular,https://github.com//topics/angular,goldbergyoni,javascript-testing-best-practices,18300,https://github.com//goldbergyoni/javascript-testing-best-practices
162,Angular,https://github.com//topics/angular,pubkey,rxdb,17700,https://github.com//pubkey/rxdb
163,Angular,https://github.com//topics/angular,handsontable,handsontable,16900,https://github.com//handsontable/handsontable
164,Angular,https://github.com//topics/angular,teambit,bit,15500,https://github.com//teambit/bit
165,Angular,https://github.com//topics/angular,sweetalert2,sweetalert2,14800,https://github.com//sweetalert2/sweetalert2
166,Angular,https://github.com//topics/angular,nrwl,nx,13700,https://github.com//nrwl/nx
167,Angular,https://github.com//topics/angular,linnovate,mean,12200,https://github.com//linnovate/mean
168,Angular,https://github.com//topics/angular,codesandbox,codesandbox-client,11700,https://github.com//codesandbox/codesandbox-client
169,Angular,https://github.com//topics/angular,sudheerj,javascript-interview-questions,11100,https://github.com//sudheerj/javascript-interview-questions
170,Angular,https://github.com//topics/angular,Chocobozzz,PeerTube,10800,https://github.com//Chocobozzz/PeerTube
171,Angular,https://github.com//topics/angular,PatrickJS,angular-starter,10400,https://github.com//PatrickJS/angular-starter
172,Angular,https://github.com//topics/angular,wailsapp,wails,9800,https://github.com//wailsapp/wails
173,Angular,https://github.com//topics/angular,jasontaylordev,CleanArchitecture,9100,https://github.com//jasontaylordev/CleanArchitecture
174,Angular,https://github.com//topics/angular,dotansimha,graphql-code-generator,9000,https://github.com//dotansimha/graphql-code-generator
175,Angular,https://github.com//topics/angular,ag-grid,ag-grid,8900,https://github.com//ag-grid/ag-grid
176,Angular,https://github.com//topics/angular,angular,protractor,8800,https://github.com//angular/protractor
177,Angular,https://github.com//topics/angular,OnsenUI,OnsenUI,8600,https://github.com//OnsenUI/OnsenUI
178,Angular,https://github.com//topics/angular,PatrickJS,awesome-angular,8400,https://github.com//PatrickJS/awesome-angular
179,Angular,https://github.com//topics/angular,abpframework,abp,8400,https://github.com//abpframework/abp
180,Ansible,https://github.com//topics/ansible,ansible,ansible,53900,https://github.com//ansible/ansible
181,Ansible,https://github.com//topics/ansible,bregman-arie,devops-exercises,27900,https://github.com//bregman-arie/devops-exercises
182,Ansible,https://github.com//topics/ansible,trailofbits,algo,25800,https://github.com//trailofbits/algo
183,Ansible,https://github.com//topics/ansible,StreisandEffect,streisand,22800,https://github.com//StreisandEffect/streisand
184,Ansible,https://github.com//topics/ansible,MichaelCade,90DaysOfDevOps,15700,https://github.com//MichaelCade/90DaysOfDevOps
185,Ansible,https://github.com//topics/ansible,kubernetes-sigs,kubespray,12600,https://github.com//kubernetes-sigs/kubespray
186,Ansible,https://github.com//topics/ansible,ansible,awx,11200,https://github.com//ansible/awx
187,Ansible,https://github.com//topics/ansible,easzlab,kubeasz,8300,https://github.com//easzlab/kubeasz
188,Ansible,https://github.com//topics/ansible,geerlingguy,ansible-for-devops,6000,https://github.com//geerlingguy/ansible-for-devops
189,Ansible,https://github.com//topics/ansible,khuedoan,homelab,5900,https://github.com//khuedoan/homelab
190,Ansible,https://github.com//topics/ansible,curlconverter,curlconverter,5700,https://github.com//curlconverter/curlconverter
191,Ansible,https://github.com//topics/ansible,ansible-semaphore,semaphore,5100,https://github.com//ansible-semaphore/semaphore
192,Ansible,https://github.com//topics/ansible,Tikam02,DevOps-Guide,5000,https://github.com//Tikam02/DevOps-Guide
193,Ansible,https://github.com//topics/ansible,geerlingguy,mac-dev-playbook,4700,https://github.com//geerlingguy/mac-dev-playbook
194,Ansible,https://github.com//topics/ansible,rundeck,rundeck,4600,https://github.com//rundeck/rundeck
195,Ansible,https://github.com//topics/ansible,KubeOperator,KubeOperator,4400,https://github.com//KubeOperator/KubeOperator
196,Ansible,https://github.com//topics/ansible,clong,DetectionLab,3700,https://github.com//clong/DetectionLab
197,Ansible,https://github.com//topics/ansible,netbootxyz,netboot.xyz,3400,https://github.com//netbootxyz/netboot.xyz
198,Ansible,https://github.com//topics/ansible,ansible-community,molecule,3400,https://github.com//ansible-community/molecule
199,Ansible,https://github.com//topics/ansible,werf,werf,3300,https://github.com//werf/werf
200,Ansible,https://github.com//topics/ansible,opendevops-cn,opendevops,3200,https://github.com//opendevops-cn/opendevops
201,Ansible,https://github.com//topics/ansible,litmuschaos,litmus,3100,https://github.com//litmuschaos/litmus
202,Ansible,https://github.com//topics/ansible,welliamcao,OpsManage,3000,https://github.com//welliamcao/OpsManage
203,Ansible,https://github.com//topics/ansible,ansible,ansible-lint,2800,https://github.com//ansible/ansible-lint
204,Ansible,https://github.com//topics/ansible,dev-sec,ansible-collection-hardening,2800,https://github.com//dev-sec/ansible-collection-hardening
205,Ansible,https://github.com//topics/ansible,alixaxel,chrome-aws-lambda,2700,https://github.com//alixaxel/chrome-aws-lambda
206,Ansible,https://github.com//topics/ansible,roots,trellis,2300,https://github.com//roots/trellis
207,Ansible,https://github.com//topics/ansible,ansistrano,deploy,2200,https://github.com//ansistrano/deploy
208,Ansible,https://github.com//topics/ansible,fboender,ansible-cmdb,2100,https://github.com//fboender/ansible-cmdb
209,Ansible,https://github.com//topics/ansible,pytest-dev,pytest-testinfra,2100,https://github.com//pytest-dev/pytest-testinfra
210,API,https://github.com//topics/api,public-apis,public-apis,202000,https://github.com//public-apis/public-apis
211,API,https://github.com//topics/api,neovim,neovim,55900,https://github.com//neovim/neovim
212,API,https://github.com//topics/api,tiangolo,fastapi,47500,https://github.com//tiangolo/fastapi
213,API,https://github.com//topics/api,strapi,strapi,46400,https://github.com//strapi/strapi
214,API,https://github.com//topics/api,hoppscotch,hoppscotch,45200,https://github.com//hoppscotch/hoppscotch
215,API,https://github.com//topics/api,slatedocs,slate,34300,https://github.com//slatedocs/slate
216,API,https://github.com//topics/api,meilisearch,meilisearch,28100,https://github.com//meilisearch/meilisearch
217,API,https://github.com//topics/api,hasura,graphql-engine,27500,https://github.com//hasura/graphql-engine
218,API,https://github.com//topics/api,ccxt,ccxt,25200,https://github.com//ccxt/ccxt
219,API,https://github.com//topics/api,Binaryify,NeteaseCloudMusicApi,25000,https://github.com//Binaryify/NeteaseCloudMusicApi
220,API,https://github.com//topics/api,YMFE,yapi,24700,https://github.com//YMFE/yapi
221,API,https://github.com//topics/api,encode,django-rest-framework,23800,https://github.com//encode/django-rest-framework
222,API,https://github.com//topics/api,httpie,httpie,22700,https://github.com//httpie/httpie
223,API,https://github.com//topics/api,littlecodersh,ItChat,22300,https://github.com//littlecodersh/ItChat
224,API,https://github.com//topics/api,Kong,insomnia,21700,https://github.com//Kong/insomnia
225,API,https://github.com//topics/api,paularmstrong,normalizr,20900,https://github.com//paularmstrong/normalizr
226,API,https://github.com//topics/api,FallibleInc,security-guide-for-developers,20300,https://github.com//FallibleInc/security-guide-for-developers
227,API,https://github.com//topics/api,microsoft,api-guidelines,19800,https://github.com//microsoft/api-guidelines
228,API,https://github.com//topics/api,pubkey,rxdb,17700,https://github.com//pubkey/rxdb
229,API,https://github.com//topics/api,shieldfy,API-Security-Checklist,17500,https://github.com//shieldfy/API-Security-Checklist
230,API,https://github.com//topics/api,directus,directus,17000,https://github.com//directus/directus
